Date,High,Low,Close,Volume
2015-03-02,385.899994,379.480011,385.660004,2139200
2015-03-03,386.100006,381.600006,384.609985,1946500
2015-03-04,387.899994,382.190002,382.72000099999997,2252700
2015-03-05,388.420013,383.890015,387.829987,2693500
2015-03-06,387.0,378.880005,380.089996,2627000
2015-03-09,379.329987,375.27999900000003,378.559998,2311400
2015-03-10,377.769989,369.179993,369.51001,3079600
2015-03-11,373.350006,366.26001,366.369995,2495100
2015-03-12,375.5,367.519989,374.23999,2810000
2015-03-13,373.98999,366.679993,370.579987,2611700
2015-03-16,373.940002,366.72000099999997,373.350006,2354100
2015-03-17,374.5,369.640015,371.920013,2034200
2015-03-18,375.98999,366.700012,375.140015,2640600
2015-03-19,377.109985,372.190002,373.23999,1915700
2015-03-20,379.369995,375.920013,378.48999,3763600
2015-03-23,381.769989,374.940002,375.109985,2235300
2015-03-24,375.23999,372.269989,374.089996,2228200
2015-03-25,380.5,370.290009,370.959991,3429500
2015-03-26,371.399994,365.649994,367.350006,2930000
2015-03-27,373.170013,366.570007,370.559998,2603800
2015-03-30,376.119995,371.549988,374.589996,1820900
2015-03-31,377.700012,371.51001,372.100006,2506100
2015-04-01,373.160004,368.339996,370.26001,2451100
2015-04-02,373.27999900000003,369.0,372.25,1875300
2015-04-06,380.200012,369.359985,377.040009,3050700
2015-04-07,379.309998,374.02999900000003,374.410004,1954900
2015-04-08,381.579987,374.649994,381.200012,2636400
2015-04-09,384.420013,378.799988,383.540009,2392300
2015-04-10,387.119995,381.320007,382.649994,2573500
2015-04-13,385.27999900000003,380.140015,382.359985,1894500
2015-04-14,387.809998,381.209991,385.109985,2548800
2015-04-15,385.77999900000003,381.640015,383.450012,1933200
2015-04-16,387.450012,383.549988,386.040009,2080400
2015-04-17,383.559998,374.399994,375.559998,3839700
2015-04-20,391.940002,377.0,389.51001,5001400
2015-04-21,394.600006,386.799988,391.179993,4643500
2015-04-22,394.27999900000003,388.0,389.799988,3474700
2015-04-23,391.880005,386.149994,389.98999,7980000
2015-04-24,452.64999400000005,439.0,445.10000599999995,17176900
2015-04-27,446.98999000000003,437.410004,438.55999800000006,5430900
2015-04-28,439.0,428.040009,429.30999800000006,4140500
2015-04-29,434.23999000000003,426.02999900000003,429.369995,3621700
2015-04-30,431.75,419.23999,421.77999900000003,3647900
2015-05-01,425.64001500000006,416.0,422.869995,3565800
2015-05-04,429.76998899999995,422.420013,423.040009,2270400
2015-05-05,427.51000999999997,421.01998899999995,421.19000199999994,2856400
2015-05-06,422.72000099999997,414.549988,419.100006,2552500
2015-05-07,428.5,422.85000599999995,426.880005,2766100
2015-05-08,435.200012,430.170013,433.69000199999994,2908800
2015-05-11,439.0,431.369995,432.85000599999995,2393700
2015-05-12,433.25,426.709991,431.01998899999995,1947800
2015-05-13,433.52999900000003,425.799988,426.869995,1996300
2015-05-14,433.0,427.01000999999997,432.27999900000003,1888500
2015-05-15,430.39999400000005,424.299988,426.0,4240300
2015-05-18,427.26998899999995,421.459991,425.23999000000003,2268700
2015-05-19,428.23999000000003,420.630005,421.709991,2464200
2015-05-20,427.10000599999995,418.359985,423.85998499999994,2196200
2015-05-21,436.89999400000005,428.0,431.630005,4121400
2015-05-22,432.44000199999994,427.60998499999994,427.630005,2020600
2015-05-26,427.0,422.0,425.47000099999997,2244200
2015-05-27,431.85000599999995,425.01000999999997,431.420013,2231100
2015-05-28,431.35000599999995,425.47000099999997,426.57000700000003,1912400
2015-05-29,432.5,427.23001100000005,429.23001100000005,3008600
2015-06-01,433.160004,426.200012,430.920013,2253300
2015-06-02,433.23001100000005,426.25,430.98999000000003,1668900
2015-06-03,438.39001500000006,432.75,436.589996,2727900
2015-06-04,436.76000999999997,429.26000999999997,430.77999900000003,2510800
2015-06-05,430.799988,426.5,426.950012,1907900
2015-06-08,426.799988,421.42999299999997,423.5,2166900
2015-06-09,427.48999000000003,419.140015,425.48001100000005,2288700
2015-06-10,432.200012,425.660004,430.76998899999995,2172300
2015-06-11,438.89001500000006,431.47000099999997,432.97000099999997,2922500
2015-06-12,432.35998499999994,428.26000999999997,429.920013,2054400
2015-06-15,428.049988,422.64001500000006,423.670013,2051000
2015-06-16,427.97000099999997,422.670013,427.26000999999997,2296400
